वार्ड सं,कुल मतदाता,मतदान दिवस मत (Polled),स्थिति,गिने गए मत (Counted),NOTA मत,विजयी प्रत्याशी,विजयी दल,जीत का अंतर,टेबल सं,प्रत्याशीवार मत
"24","813","548","Yet to Start","","","प्रतीक्षारत","-","","1","रमेश कुमार राठौड (भारतीय जनता पार्टी): 0 | राकेश बोराणा (इण्डियन नेशनल कांग्रेस): 0 | गणेशमल (निर्दलीय): 0 | संजय बोराणा (निर्दलीय): 0 | हनवंत सिंह (निर्दलीय): 0 | हरिश कुमार (निर्दलीय): 0"
"25","776","514","Yet to Start","","","प्रतीक्षारत","-","","1","नटवर लाल रामीणा (भारतीय जनता पार्टी): 0 | बाबुलाल (इण्डियन नेशनल कांग्रेस): 0 | दिनेश कुमार (निर्दलीय): 0 | भरत कुमार (निर्दलीय): 0 | विनोद कुमार (निर्दलीय): 0"
"26","841","","Declared","","","वीणा देवड़ा","भारतीय जनता पार्टी","","1","वीणा देवड़ा (भारतीय जनता पार्टी): 0"
"27","906","658","Yet to Start","","","प्रतीक्षारत","-","","1","फुलाराम सुथार (भारतीय जनता पार्टी): 0 | हसमुख लाल जैन (इण्डियन नेशनल कांग्रेस): 0 | उत्तम कुमार (निर्दलीय): 0 | कान्ती लाल (निर्दलीय): 0 | विरेन्द्र कुमार (निर्दलीय): 0"
"28","880","611","Yet to Start","","","प्रतीक्षारत","-","","1","मदनलाल (भारतीय जनता पार्टी): 0 | हिम्मतमल (इण्डियन नेशनल कांग्रेस): 0 | अर्जुन सिंह (निर्दलीय): 0 | बंटी कुमार (निर्दलीय): 0 | भवानी सिंह (निर्दलीय): 0 | मोडाराम (निर्दलीय): 0"
"29","951","674","Yet to Start","","","प्रतीक्षारत","-","","1","संदीप कुमार लोहार (इण्डियन नेशनल कांग्रेस): 0 | सुरेश कुमार (भारतीय जनता पार्टी): 0 | कैलाश कुमार (निर्दलीय): 0 | जितेन्द्र कुमार (निर्दलीय): 0 | मंच्छाराम (निर्दलीय): 0 | महेन्द्र (निर्दलीय): 0 | रविन्द्र गहलोत (निर्दलीय): 0"
"30","652","510","Yet to Start","","","प्रतीक्षारत","-","","1","महेन्द्र कुमार (इण्डियन नेशनल कांग्रेस): 0 | रविकान्त रावल (भारतीय जनता पार्टी): 0 | गोविन्द कुमार (निर्दलीय): 0 | नरेश कुमार खण्डेलवाल (निर्दलीय): 0 | रोहित कुमार (निर्दलीय): 0"
"31","746","502","Yet to Start","","","प्रतीक्षारत","-","","1","भरत सोलंकी (भारतीय जनता पार्टी): 0 | भैराराम देवड़ा (इण्डियन नेशनल कांग्रेस): 0 | अर्जुन कुमार माली (निर्दलीय): 0 | कान्तिलाल (निर्दलीय): 0 | नरेन्द्र कुमार (निर्दलीय): 0 | प्रवीण देवड़ा (निर्दलीय): 0 | मदन लाल (निर्दलीय): 0"
"32","941","721","Yet to Start","","","प्रतीक्षारत","-","","1","महेन्द्र माली (भारतीय जनता पार्टी): 0 | प्रकाश सोलंकी (निर्दलीय): 0"
"33","1071","759","Yet to Start","","","प्रतीक्षारत","-","","1","अशोक कुमार (आम आदमी पार्टी): 0 | मोहनलाल (भारतीय जनता पार्टी): 0 | राजा राम गाडल (इण्डियन नेशनल कांग्रेस): 0 | अमृत लाल चन्देल (निर्दलीय): 0"
"34","1234","912","Yet to Start","","","प्रतीक्षारत","-","","1","अमृतलाल (इण्डियन नेशनल कांग्रेस): 0 | गजेन्द्र डांगी (भारतीय जनता पार्टी): 0 | कन्हैयालाल (निर्दलीय): 0 | छगनलाल (निर्दलीय): 0 | मांगीलाल उर्फ मुकेश (निर्दलीय): 0 | राजेन्द्र कुमार (निर्दलीय): 0"
"35","876","608","Yet to Start","","","प्रतीक्षारत","-","","1","रेखा कंवर (भारतीय जनता पार्टी): 0 | सविता देवी (इण्डियन नेशनल कांग्रेस): 0 | गीता भुआ (निर्दलीय): 0 | चम्पाबाई (निर्दलीय): 0"
