वार्ड संख्या,मतदाता,11-09 पोल,कुल गिने मत,NOTA,प्रत्याशी का नाम,लिंग,दल,चुनाव प्रतीक,भाग 1 मत,भाग 2 मत,डाक मत,कुल मत,स्थिति,जीत का अंतर
"14","825","600","600","4","पूनम सिंह परमार","पुरुष","भारतीय जनता पार्टी","कमल","251","0","0","251","विजेता (Declared)","5"
"14","825","600","600","4","प्रवीण सिंह भाटी","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","72","0","0","72","-",""
"14","825","600","600","4","दिपेश","पुरुष","निर्दलीय","बाल्टी","27","0","0","27","-",""
"14","825","600","600","4","हरिलाल विश्वकर्मा","पुरुष","निर्दलीय","सिलाई की मशीन","246","0","0","246","-",""
"15","902","609","609","8","ईश्वर लाल","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","83","0","0","83","-","131"
"15","902","609","609","8","रंजु भाटी","महिला","भारतीय जनता पार्टी","कमल","307","0","0","307","विजेता (Declared)","131"
"15","902","609","609","8","किरण कुमार","पुरुष","निर्दलीय","अलमारी","176","0","0","176","-",""
"15","902","609","609","8","रवि कुमार","पुरुष","निर्दलीय","आरी","35","0","0","35","-",""
"16","653","506","506","9","जितेन्द्र कुमार","पुरुष","भारतीय जनता पार्टी","कमल","237","0","0","237","विजेता (Declared)","42"
"16","653","506","506","9","फिरोज","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","195","0","0","195","-",""
"16","653","506","506","9","दिलावर खान","पुरुष","निर्दलीय","सेब","65","0","0","65","-",""
"17","1036","710","710","4","धीरज सांखला","पुरुष","भारतीय जनता पार्टी","कमल","290","0","0","290","विजेता (Declared)","39"
"17","1036","710","710","4","ललित कुमार परिहार","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","251","0","0","251","-",""
"17","1036","710","710","4","आरिफ खान","पुरुष","निर्दलीय","टेलीफोन","16","0","0","16","-",""
"17","1036","710","710","4","पुष्पकांत","पुरुष","निर्दलीय","सेब","149","0","0","149","-",""
"18","920","656","656","5","भावना राजपुरोहित","महिला","भारतीय जनता पार्टी","कमल","331","0","0","331","विजेता (Declared)","111"
"18","920","656","656","5","सुनीता देवी","महिला","इण्डियन नेशनल कांग्रेस","हाथ","220","0","0","220","-",""
"18","920","656","656","5","शशि गुप्ता","महिला","निर्दलीय","बाँसुरी","34","0","0","34","-",""
"18","920","656","656","5","सुजाता","महिला","निर्दलीय","सेब","66","0","0","66","-",""
"19","944","612","612","3","भावेश वैष्णव","पुरुष","भारतीय जनता पार्टी","कमल","338","0","0","338","विजेता (Declared)","91"
"19","944","612","612","3","महेन्द्र सिंह","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","24","0","0","24","-",""
"19","944","612","612","3","विकास अग्रवाल","पुरुष","निर्दलीय","अलमारी","247","0","0","247","-",""
"20","406","324","324","1","भगवती","महिला","इण्डियन नेशनल कांग्रेस","हाथ","2","0","0","2","-","43"
"20","406","324","324","1","ममता गहलोत","महिला","भारतीय जनता पार्टी","कमल","123","0","0","123","विजेता (Declared)","43"
"20","406","324","324","1","किरण कंवर","महिला","निर्दलीय","सेब","69","0","0","69","-",""
"20","406","324","324","1","नीरू कंवर","महिला","निर्दलीय","अलमारी","27","0","0","27","-",""
"20","406","324","324","1","मीठु कंवर","महिला","निर्दलीय","सिलाई की मशीन","80","0","0","80","-",""
"20","406","324","324","1","हिना सांखला","महिला","निर्दलीय","बाल्टी","22","0","0","22","-",""
"21","717","483","483","5","उषा देवी माली","महिला","भारतीय जनता पार्टी","कमल","331","0","0","331","विजेता (Declared)","184"
"21","717","483","483","5","नीता देवड़ा","महिला","इण्डियन नेशनल कांग्रेस","हाथ","147","0","0","147","-",""
"22","835","614","614","4","दक्षा मेड़तिया","महिला","भारतीय जनता पार्टी","कमल","229","0","0","229","-","125"
"22","835","614","614","4","पारस","महिला","इण्डियन नेशनल कांग्रेस","हाथ","27","0","0","27","-",""
"22","835","614","614","4","रमीला","महिला","निर्दलीय","अलमारी","354","0","0","354","विजेता (Declared)","125"
"23","744","482","482","5","छत्रभुज शर्मा","पुरुष","भारतीय जनता पार्टी","कमल","282","0","0","282","विजेता (Declared)","87"
